Nome do Produto,Complemento da Marca,Princípio Ativo ou Descrição do Medicamento Notificado,Tipo de Regularização,Número da Regularização,Número do Processo,Empresa Detentora da Regularização,Situação da Regularização,Vencimento da Regularização
DAISAN,,"PARACETAMOL, CLORIDRATO DE TRAMADOL",REGISTRADO,104540183,25351.162928/2016-01,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA - 60.874.187/0001-84,Ativo,09/2026
BIMAGAN,BIMAGAN CM,BIMATOPROSTA,REGISTRADO,154230208,25351.679539/2012-16,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,12/2028
MÔDULIX,,bromidrato de vortioxetina,REGISTRADO,135170078,25351.314911/2023-67,Althaia S.A Indústria Farmacêutica - 48.344.725/0007-19,Ativo,05/2034
DBRIZ UNO,,COLAGENASE,REGISTRADO,103720280,25351.467742/2017-19,SUPERA FARMA LABORATÓRIOS S.A - 43.312.503/0001-05,Ativo,10/2027
SYREX - DILUENTE FISIOLÓGICO INJETÁVEL DE MEDICAMENTOS,,"CLORETO DE SÓDIO, FENOL",REGISTRADO,128600008,25351.358881/2005-19,FDA ALLERGENIC FARMACEUTICA LTDA - EPP - 00.749.145/0001-90,Ativo,12/2027
atenolol + clortalidona,,"ATENOLOL, CLORTALIDONA",REGISTRADO,100470586,25351.910321/2016-31,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,04/2026
cloridrato de amitriptilina,,CLORIDRATO DE AMITRIPTILINA,REGISTRADO,103700510,25351.087352/2007-97,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,01/2028
CREMEFENERGAN,,PROMETAZINA,REGISTRADO,186200003,25351.303566/2023-36,OPELLA HEALTHCARE BRAZIL LTDA - 38.391.432/0001-43,Ativo,08/2026
DEFB,,MECOBALAMINA,REGISTRADO,109740365,25351.354138/2023-71,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,11/2033
LOPIGREL,,BISSULFATO DE CLOPIDOGREL,REGISTRADO,178170861,25351.375806/2018-37,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,10/2028
"SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO 0,9% MIÓ",,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,08/2034
ZOLOFT,,CLORIDRATO DE SERTRALINA,REGISTRADO,188300078,25351.574068/2021-12,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,03/2029
TILUGEN,,FENDIZOATO DE CLOPERASTINA,REGISTRADO,155840231,25351.539216/2011-54,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,07/2029
TYKITICIP,,GEFITINIBe,REGISTRADO,115410014,25351.188518/2019-25,CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA - 18.268.051/0001-64,Ativo,10/2031
bromidrato de citalopram,,BROMIDRATO DE CITALOPRAM,REGISTRADO,118190328,25351.065381/2022-37,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,10/2026
CAMZYOS,,MAVACANTENO,REGISTRADO,101800413,25351.648856/2021-44,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA - 56.998.982/0001-07,Ativo,01/2033
forteviron pró-age,,"AMBRA GRISEA 5C, BARYTA MURIATICA 5C, CONIUM MACULATUM 6C, LYCOPODIUM CLAVATUM 6C",NOTIFICADO,         ,,HOMEOPATIA WALDEMIRO PEREIRA LABORATORIO INDUSTRIAL FARMACEUTICO LTDA - 76.440.528/0001-43,Ativo,01/2035
Funed Sulfametoxazol + Trimetoprima,,"SULFAMETOXAZOL, TRIMETOPRIMA",REGISTRADO,112090028,25000.012109/89-06,FUNDAÇÃO EZEQUIEL DIAS - FUNED - 17.503.475/0001-01,Ativo,12/2026
SONOLIS,,MELISSA OFFICINALIS L.,REGISTRADO,144930058,25351.135045/2020-05,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,04/2029
BLINCYTO,,blinatumomabe,REGISTRADO,102440011,25351.769941/2014-66,AMGEN BIOTECNOLOGIA DO BRASIL LTDA. - 18.774.815/0001-93,Ativo,04/2027
MICPURE,,mirabegrona,REGISTRADO,101180643,25351.159536/2021-14,APSEN FARMACEUTICA S/A - 62.462.015/0001-29,Ativo,12/2032
PONSDRIL,,ÁCIDO MEFENÂMICO,REGISTRADO,167730421,25351.097595/2015-43,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,07/2026
SAL AMARGO FARMAX,,CRISTAIS DE SULFATO DE MAGNÉSIO C,NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,11/2034
TINTURA DE IODO 2% concare,,SOLUÇÃO DE IODO 2% C,NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,07/2030
TYLALGIN CAF,,"PARACETAMOL, CAFEÍNA",REGISTRADO,154230047,25351.149502/2004-11,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,01/2035
midostaurina,,midostaurina,REGISTRADO,151430088,25351.367452/2022-33,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA - 03.978.166/0001-75,Ativo,09/2034
ADZYNMA,,"ALFA-APADANTASE, ALFACINAXADANTASE",REGISTRADO,106390310,25351.580663/2023-41,TAKEDA PHARMA LTDA. - 60.397.775/0001-74,Ativo,12/2034
"SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO 0,9% BEM BÁSICO",,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,06/2035
acetato de desmopressina,,ACETATO DE DESMOPRESSINA,REGISTRADO,106460172,25351.221108/2007-60,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA - 61.282.661/0001-41,Ativo,10/2027
CAZIDERM,SOLUCAO,NITROFURAZONA,REGISTRADO,107150031,25000.006014/83,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA - 44.010.437/0001-81,Ativo,08/2028
DEXXAH,,DIMESILATO DE LISDEXANFETAMINA,REGISTRADO,141070662,25351.408150/2024-94,PHARLAB INDÚSTRIA FARMACÊUTICA S.A. - 02.501.297/0001-02,Ativo,02/2035
EXPULSATOX,,HEDERA HELIX L.,REGISTRADO,100380114,25351.857514/2023-85,BRASTERAPICA PHARMACEUTICA LTDA. - 46.179.008/0001-68,Ativo,09/2034
NORF,,NORFLOXACINO,REGISTRADO,135690695,25351.384749/2015-34,EMS SIGMA PHARMA LTDA - 00.923.140/0001-31,Ativo,12/2026
SIMETICON,,SIMETICONA 75 MG/ML (EMULSÃO ORAL) C,NOTIFICADO,         ,,KLEY HERTZ FARMACEUTICA S.A - 92.695.691/0001-03,Ativo,11/2032
simeticona airela,,SIMETICONA 75 MG/ML (EMULSÃO ORAL) C,NOTIFICADO,         ,,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,05/2035
hemifumarato de quetiapina,,hemifumarato de quetiapina,REGISTRADO,155840592,25351.963094/2020-22,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,01/2031
LAMOTRIGINA,,LAMOTRIGINA,REGISTRADO,146820050,25351.721648/2011-73,SUN FARMACÊUTICA DO BRASIL LTDA - 05.035.244/0001-23,Ativo,09/2026
levofloxacino hemihidratado,,LEVOFLOXACINO HEMIIDRATADO,REGISTRADO,104400208,25351.573417/2017-94,CELLERA FARMACÊUTICA S.A. - 33.173.097/0002-74,Ativo,03/2028
apixabana,,apixabana,REGISTRADO,118190487,25351.523205/2023-12,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,05/2034
COMPLEXO HOMEOPATICO IPECA AP Nº10,,"IPECACUANHA 6C, BRYONIA ALBA 6C, ANTIMONIUM TARTARICUM 6C, CALCAREA IODATA 6C",NOTIFICADO,         ,,FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA - 60.862.208/0001-41,Ativo,08/2033
"Ácido fólico 0,2mg/mL",,ÁCIDO FÓLICO C,NOTIFICADO,         ,,IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA - 00.376.959/0001-26,Ativo,05/2027
BETA-LONG,,"FOSFATO DISSÓDICO DE BETAMETASONA, ACETATO DE BETAMETASONA",REGISTRADO,104971173,25000.012784/99-62,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,11/2029
XALOFTAL,,LATANOPROSTA,REGISTRADO,154230195,25351.237602/2011-11,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,04/2028
ALGIE,,CETOPROFENO,REGISTRADO,100431353,25351.833305/2021-84,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,07/2028
CLORIDRATO DE HIDROXIZINE,,CLORIDRATO DE HIDROXIZINA,REGISTRADO,105350170,25351.408222/2009-64,LABORATÓRIO GLOBO SA - 17.115.437/0001-73,Ativo,09/2035
cloridrato de ondansetrona,,CLORIDRATO  DE ONDANSETRONA DI-hIDRATADO,REGISTRADO,155840626,25351.125946/2022-42,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,05/2032
cloridrato de paroxetina,,CLORIDRATO DE PAROXETINA,REGISTRADO,143810247,25351.545508/2019-00,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,12/2029
FUNGICORT,,"CETOCONAZOL, DIPROPIONATO DE BETAMETASONA",REGISTRADO,115600052,25000.004534/99-40,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA - 17.562.075/0001-69,Ativo,05/2035
LEILA,,"ACETATO DE CIPROTERONA, ETINILESTRADIOL",REGISTRADO,119130003,25351.135664/2020-91,DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA - 38.756.680/0001-40,Ativo,09/2030
NIQUITIN,,NICOTINA,REGISTRADO,134800108,25351.345192/2017-92,MAPPEL INDÚSTRIA DE EMBALAGENS S.A. - 01.233.103/0001-64,Ativo,08/2028
SOMALIUM,,BROMAZEPAM,REGISTRADO,105730152,25992.018620/68,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,09/2035
acetato de ciproterona + etinilestradiol,,"ACETATO DE CIPROTERONA, ETINILESTRADIOL",REGISTRADO,100890388,25351.199092/2015-10,MERCK S/A - 33.069.212/0001-84,Ativo,09/2035
Captopril,,CAPTOPRIL,REGISTRADO,151670036,25351.432525/2006-55,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA - 04.301.884/0001-75,Ativo,10/2029
DEZEMIM,,EZETIMIBA,REGISTRADO,167730456,25351.331423/2013-71,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,10/2026
GLICERINA 12%,,GLICEROL,REGISTRADO,110850012,25016.000121/99,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA - 06.628.333/0001-46,Ativo,04/2035
VASCOR MR,,DICLORIDRATO DE TRIMETAZIDINA,REGISTRADO,100431477,25351.248095/2021-24,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,07/2033
"Acetato de Zinco 0,5 mEq/mL",,ACETATO DE ZINCO,REGISTRADO,164000011,25351.194148/2017-55,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA - 05.155.425/0001-93,Ativo,03/2030
BISSULFATO DE CLOPIDOGREL,,BISSULFATO DE CLOPIDOGREL,REGISTRADO,100431133,25351.675226/2014-13,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,06/2035
cloridrato de venlafaxina,,CLORIDRATO DE VENLAFAXINA,REGISTRADO,102351277,25351.509213/2017-08,EMS S/A - 57.507.378/0003-65,Ativo,09/2028
NEBITAH,,cloridrato de nebivolol,REGISTRADO,105730729,25351.703505/2018-16,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2029
GLINAPE,,linagliptina,REGISTRADO,167730605,25351.044414/2017-48,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,11/2028
ZOLPAZ SL,,HEMITARTARATO DE ZOLPIDEM,REGISTRADO,104971534,25351.083724/2022-45,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,09/2034
gastrointestin plus,,SUSPENSÃO DE HIDRÓXIDO DE MAGNÉSIO 4% E ALUMÍNIO 6% C,NOTIFICADO,         ,,BELFAR LTDA - 18.324.343/0001-77,Ativo,05/2026
GLICOSE,,GLICOSE,REGISTRADO,155920006,25351.045762/2003-37,Samtec Biotecnologia Limitada - 04.459.117/0001-99,Ativo,10/2029
SORO FISIOLÓGICO HEARST,,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,HEARST LABORATORIOS DO BRASIL LTDA - 28.634.665/0001-76,Ativo,12/2032
Betacortazol ceto shampoo,,CETOCONAZOL 20 MG/G (XAMPU) C,NOTIFICADO,         ,,BELFAR LTDA - 18.324.343/0001-77,Ativo,03/2033
IBUPRIL CAPS,,IBUPROFENO,REGISTRADO,103700762,25351.770314/2021-57,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,02/2032
MUCBE,,CARBOCISTEÍNA,REGISTRADO,196240012,25351.448425/2024-22,KYMBERG FARMACEUTICA DO BRASIL LTDA - 43.056.264/0001-70,Ativo,06/2035
AQUARELA,,ARIPIPRAZOL,REGISTRADO,105730017,25351.145906/2021-36,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,08/2032
CLORIDRATO DE BUPROPIONA,,CLORIDRATO DE BUPROPIONA,REGISTRADO,104971413,25351.462206/2012-97,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,11/2027
ERIVEDGE,,vismodegibe,REGISTRADO,101000664,25351.109576/2013-14,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A. - 33.009.945/0001-23,Ativo,10/2026
etodolaco,,ETODOLACO,REGISTRADO,102980516,25351.842222/2018-81,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,12/2029
DALMADORM,,CLORIDRATO DE FLURAZEPAM,REGISTRADO,109170129,25351.646193/2022-12,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA. - 17.875.154/0001-20,Ativo,05/2029
desogestrel + etinilestradiol,,"DESOGESTREL, ETINILESTRADIOL",REGISTRADO,105730772,25351.552469/2021-11,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,09/2030
Transtec,,BUPRENORFINA,REGISTRADO,186100012,25351.597282/2014-17,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA. - 10.555.143/0001-13,Ativo,05/2028
ÁLCOOL GEL 70%,,ÁLCOOL ETÍLICO 70% (GEL) C,NOTIFICADO,         ,,VIC PHARMA INDUSTRIA E COMERCIO LTDA - 39.032.974/0001-92,Ativo,01/2029
INTERFERON ALFA  2A HUMANO RECOMBINANTE,,Interferon alfa 2a,REGISTRADO,156250001,25351.173181/2004-75,CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA - 04.415.365/0001-38,Ativo,08/2035
nitrato de miconazol emulsão dermatológica,,NITRATO DE MICONAZOL 20 MG/G (EMULSÃO DERMATOLÓGICA) C,NOTIFICADO,         ,,NATIVITA IND. COM. LTDA. - 65.271.900/0001-19,Ativo,04/2035
IQIRVO,,ELAFIBRANOR,REGISTRADO,169770006,25351.144485/2024-79,BEAUFOUR IPSEN FARMACÊUTICA LTDA - 07.718.721/0001-80,Ativo,08/2035
MYLOTARG,,gentuzumabe ozogamicina,REGISTRADO,121100480,25351.758222/2020-18,PFIZER BRASIL LTDA - 61.072.393/0001-33,Ativo,02/2029
besilato de atracúrio,,BESILATO DE ATRACÚRIO,REGISTRADO,174200002,25351.239352/2022-18,EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA - 44.639.493/0001-80,Ativo,02/2032
DICLOFENACO RESINATO,,DICLOFENACO DE POTÁSSIO,REGISTRADO,105830327,25351.073632/2003-94,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,06/2029
NIZUIL GEL,,NIMESULIDA,REGISTRADO,118190069,25351.056818/2008-93,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,09/2028
DICLOFARMA,,"DICLOFENACO DE SÓDIO, DICLOFENACO SÓDICO",REGISTRADO,110850016,25351.023131/00-80,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA - 06.628.333/0001-46,Ativo,02/2026
aripiprazol,,ARIPIPRAZOL,REGISTRADO,105350234,25351.512718/2023-90,LABORATÓRIO GLOBO SA - 17.115.437/0001-73,Ativo,09/2033
PEG-LAX 4000,,POLIETILENOGLICOL 4000 (SOLUÇÃO) C,NOTIFICADO,         ,,MYRALIS INDUSTRIA FARMACEUTICA LTDA - 17.440.261/0001-25,Ativo,04/2035
CALT,,cloridrato de cinacalcete,REGISTRADO,102980475,25351.000104/2018-01,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,09/2028
CEF,,CEFALEXINA MONOIDRATADA,REGISTRADO,104971444,25351.009441/2020-70,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,06/2030
ETINILESTRADIOL+DESOGESTREL,,"ETINILESTRADIOL, DESOGESTREL",REGISTRADO,100470526,25351.478176/2010-72,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,12/2028
NOREGYNA,,"ENANTATO DE NORETISTERONA, VALERATO DE ESTRADIOL",REGISTRADO,115600224,25351.144007/2020-35,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA - 17.562.075/0001-69,Ativo,10/2025
tartarato de evogliptina,,TARTARATO DE EVOGLIPTINA,REGISTRADO,100431502,25351.927690/2024-72,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,02/2034
FEMINIQUE CONTI,,"DROSPIRENONA, ETINILESTRADIOL",REGISTRADO,105730034,25351.298597/2020-15,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2032
valsartana + hidroclorotiazida,,"VALSARTANA, HIDROCLOROTIAZIDA",REGISTRADO,105830914,25351.132681/2017-71,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,09/2027
ATENOLOL + CLORTALIDONA,,"ATENOLOL, CLORTALIDONA",REGISTRADO,100430951,25351.353317/2005-18,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,07/2026
desloratadina,,DESLORATADINA,REGISTRADO,143810251,25351.680203/2019-35,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,01/2030
NEBIPRE,,cloridrato de nebivolol,REGISTRADO,167730643,25351.032709/2015-18,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,03/2030
NEUPRO,,rotigotina,REGISTRADO,123610082,25351.034703/2013-14,UCB BIOPHARMA LTDA. - 64.711.500/0001-14,Ativo,08/2029
GLICOBRAS,,FLUDESOXIGLICOSE 18F,REGISTRADO,185120001,25351.380240/2015-16,CMR CAMPINAS PHARMA LTDA - 08.820.007/0001-61,Ativo,12/2028
SPEVIGO,,ESPESOLIMABE,REGISTRADO,103670179,25351.083190/2022-57,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA. - 60.831.658/0001-77,Ativo,03/2026
LAFEPE BENZNIDAZOL,,BENZNIDAZOL,REGISTRADO,101830145,25351.111801/2006-44,LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE - 10.877.926/0001-13,Ativo,11/2026
SOMINEX PI,,Passiflora incarnata L.,REGISTRADO,102351334,25351.681765/2017-34,EMS S/A - 57.507.378/0003-65,Ativo,02/2030
CETOFENID,,CETOPROFENO,REGISTRADO,103700554,25351.526844/2009-71,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,01/2026
GAMMAR,,ÁCIDO GAMAMINOBUTÍRICO,REGISTRADO,156510033,25351.526547/2011-71,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,12/2029
indapamida,,INDAPAMIDA,REGISTRADO,105250067,25351.296837/2015-80,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,10/2025
PREDCORT,,PREDNISONA,REGISTRADO,103920216,25351.478515/2022-86,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,
BETASERC,,DICLORIDRATO DE BETAISTINA,REGISTRADO,105530343,25351.256792/2011-75,ABBOTT LABORATÓRIOS DO BRASIL LTDA - 56.998.701/0001-16,Ativo,04/2029
DOZOITO,,SUCCINATO DE METOPROLOL,REGISTRADO,109740334,25351.752460/2021-09,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,06/2030
hemifumarato de bisoprolol,,hemiFUMARATO DE BISOPROLOL,REGISTRADO,183260305,25351.279079/2016-16,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,04/2029
latanoprosta,,LATANOPROSTA,REGISTRADO,118190405,25351.065476/2022-51,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,04/2027
varicell proct,,"AESCULUS HIPPOCASTANUM 4D, ACIDUM FLUORICUM 10D, PULSATILLA 10D, HAMAMELIS VIRGINIANA 4D",NOTIFICADO,         ,,Farmoquimica S/A - 33.349.473/0003-10,Ativo,07/2035
ALERGALIV,,LORATADINA,REGISTRADO,167730251,25351.661876/2010-15,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,12/2025
LÂNICO,,"AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTÁSSIO",REGISTRADO,103720277,25351.045200/2017-99,SUPERA FARMA LABORATÓRIOS S.A - 43.312.503/0001-05,Ativo,03/2027
CISAUNI,,BESILATO DE CISATRACÚRIO,REGISTRADO,104971465,25351.871132/2020-11,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,05/2029
cloridrato de donepezila,,CLORIDRATO DE DONEPEZILA,REGISTRADO,151430055,25351.300629/2020-50,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA - 03.978.166/0001-75,Ativo,06/2030
fenitoína,,FENITOÍNA,REGISTRADO,107150171,25351.359337/2007-56,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA - 44.010.437/0001-81,Ativo,06/2028
KEROXIME,,CEFUROXIMA SÓDICA,REGISTRADO,155620011,25351.072110/2004-56,ANTIBIÓTICOS DO BRASIL LTDA - 05.439.635/0001-03,Ativo,04/2035
LETHOZY,,LETROZOL,REGISTRADO,116370205,25351.049391/2023-14,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,07/2033
MYOZYME,,alfa-alglicosidase,REGISTRADO,183260342,25351.189917/2019-11,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,12/2027
AMINOFILINA,,AMINOFILINA,REGISTRADO,113430118,25351.171752/2004-37,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,05/2035
indapamida,,INDAPAMIDA,REGISTRADO,167730482,25351.403024/2015-52,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,12/2026
PREVENAR 13,,"POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1, POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B, POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3 , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4 , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5, POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6A , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V, POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14 , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F , POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F , PROTEÍNA CARREADORA",REGISTRADO,121100468,25351.422219/2019-25,PFIZER BRASIL LTDA - 61.072.393/0001-33,Ativo,04/2030
RITALINA,RITALINA LA,CLORIDRATO DE METILFENIDATO,REGISTRADO,100680080,25992.001268/55,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,10/2029
Sinustrat nebulizador,,"SOLUÇÃO NASAL DE CLORETO DE SÓDIO 0,9% COM CONSERVANTE C",NOTIFICADO,         ,,BIOLAB SANUS FARMACÊUTICA LTDA. - 49.475.833/0018-46,Ativo,01/2028
TORHANZ,,EVEROLIMO,REGISTRADO,151430082,25351.511184/2023-84,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA - 03.978.166/0001-75,Ativo,10/2033
DIFFERIN,,ADAPALENO,REGISTRADO,129160025,25000.020734/95-16,GALDERMA BRASIL LTDA - 00.317.372/0001-46,Ativo,03/2027
hemitartarato de zolpidem,,HEMITARTARATO DE ZOLPIDEM,REGISTRADO,105830812,25351.186668/2016-51,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,09/2026
PARALDRIN,,"FOSFATO DE CODEÍNA, PARACETAMOL",REGISTRADO,167730551,25351.402780/2016-45,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,05/2027
PAXIBE,,PARECOXIBE SÓDICO,REGISTRADO,100431460,25351.486694/2022-25,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,12/2032
BRONCHO-VAXOM,,LISADO BACTERIANO,REGISTRADO,100580122,25351.371600/2020-52,CHIESI FARMACÊUTICA LTDA - 61.363.032/0001-46,Ativo,08/2030
